,params,mean roc auc
16,"{'learning_rate': 1, 'max_features': 1, 'min_weight_fraction_leaf': 0.02, 'random_state': 0}",0.5084419063733785
17,"{'learning_rate': 1, 'max_features': 1, 'min_weight_fraction_leaf': 0.03, 'random_state': 0}",0.5083780919639574
18,"{'learning_rate': 1, 'max_features': 1, 'min_weight_fraction_leaf': 0.04, 'random_state': 0}",0.5097749174119732
19,"{'learning_rate': 1, 'max_features': 1, 'min_weight_fraction_leaf': 0.05, 'random_state': 0}",0.5084416240583398
20,"{'learning_rate': 1, 'max_features': 2, 'min_weight_fraction_leaf': 0.01, 'random_state': 0}",0.5068546450729192
21,"{'learning_rate': 1, 'max_features': 2, 'min_weight_fraction_leaf': 0.02, 'random_state': 0}",0.5075525745339855
22,"{'learning_rate': 1, 'max_features': 2, 'min_weight_fraction_leaf': 0.03, 'random_state': 0}",0.5091401581291835
23,"{'learning_rate': 1, 'max_features': 2, 'min_weight_fraction_leaf': 0.04, 'random_state': 0}",0.5094577797475842
24,"{'learning_rate': 1, 'max_features': 2, 'min_weight_fraction_leaf': 0.05, 'random_state': 0}",0.5083144386507155
25,"{'learning_rate': 1, 'max_features': 3, 'min_weight_fraction_leaf': 0.01, 'random_state': 0}",0.5076800015090928
26,"{'learning_rate': 1, 'max_features': 3, 'min_weight_fraction_leaf': 0.02, 'random_state': 0}",0.5071089355192451
27,"{'learning_rate': 1, 'max_features': 3, 'min_weight_fraction_leaf': 0.03, 'random_state': 0}",0.5083146806789116
28,"{'learning_rate': 1, 'max_features': 3, 'min_weight_fraction_leaf': 0.04, 'random_state': 0}",0.5062830953850117
29,"{'learning_rate': 1, 'max_features': 3, 'min_weight_fraction_leaf': 0.05, 'random_state': 0}",0.5079972197471665
30,"{'learning_rate': 10, 'max_features': 1, 'min_weight_fraction_leaf': 0.01, 'random_state': 0}",0.5069200306691904
31,"{'learning_rate': 10, 'max_features': 1, 'min_weight_fraction_leaf': 0.02, 'random_state': 0}",0.5038732973690081
32,"{'learning_rate': 10, 'max_features': 1, 'min_weight_fraction_leaf': 0.03, 'random_state': 0}",0.505393722798063
33,"{'learning_rate': 10, 'max_features': 1, 'min_weight_fraction_leaf': 0.04, 'random_state': 0}",0.508821489001692
34,"{'learning_rate': 10, 'max_features': 1, 'min_weight_fraction_leaf': 0.05, 'random_state': 0}",0.5097104181774232
35,"{'learning_rate': 10, 'max_features': 2, 'min_weight_fraction_leaf': 0.01, 'random_state': 0}",0.49822435860224423
36,"{'learning_rate': 10, 'max_features': 2, 'min_weight_fraction_leaf': 0.02, 'random_state': 0}",0.5015872622730769
37,"{'learning_rate': 10, 'max_features': 2, 'min_weight_fraction_leaf': 0.03, 'random_state': 0}",0.5064735717802495
38,"{'learning_rate': 10, 'max_features': 2, 'min_weight_fraction_leaf': 0.04, 'random_state': 0}",0.5074887590495665
39,"{'learning_rate': 10, 'max_features': 2, 'min_weight_fraction_leaf': 0.05, 'random_state': 0}",0.5040650238849272
40,"{'learning_rate': 10, 'max_features': 3, 'min_weight_fraction_leaf': 0.01, 'random_state': 0}",0.5012053811959449
41,"{'learning_rate': 10, 'max_features': 3, 'min_weight_fraction_leaf': 0.02, 'random_state': 0}",0.5048257191201354
42,"{'learning_rate': 10, 'max_features': 3, 'min_weight_fraction_leaf': 0.03, 'random_state': 0}",0.5007639191040207
43,"{'learning_rate': 10, 'max_features': 3, 'min_weight_fraction_leaf': 0.04, 'random_state': 0}",0.4995549901576224
44,"{'learning_rate': 10, 'max_features': 3, 'min_weight_fraction_leaf': 0.05, 'random_state': 0}",0.5007624284908548
